date,event_id,title,score_band,state,flags
2026-02-08,INDIACLIMATE-30,India meets its 2030 climate goals?,Critical,Dormant,
2026-02-08,KXACTORSONNYCROCKETT-35,Who will be cast in the next Miami Vice?,Critical,Dormant,
2026-02-08,KXFDATYPE1DIABETES-33,Will the FDA approve a cure for Type 1 diabetes before 2033?,Critical,Dormant,
2026-02-08,KXAFRICALEADEROUT-35,Which of these African leaders will leave office next?,Critical,Dormant,
2026-02-08,KXUSTAKEOVER-30,Will the US government take control of any AI company or project before 2030?,Critical,Dormant,
2026-02-08,KXDEELRIP-40,Will Deel or Rippling IPO first?,Critical,Dormant,
2026-02-08,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,Critical,Dormant,
2026-02-08,EUCLIMATE,EU meets its 2030 climate goals?,Critical,Dormant,
2026-02-08,KXINDIANAPOWELL-30,Will Glen Powell be cast in the next Indiana Jones movie?,Critical,Dormant,
2026-02-08,KXCANADACUP-30,Canadian team wins the Stanley Cup® before the 2031 season?,Critical,Dormant,
2026-02-08,KXPERFORMROLEBRITNEY,Who will play Britney Spears in the Jon M. Chu–directed biopic?,Critical,Dormant,
2026-02-08,KXTVSEASONRELEASEACOURTOFTHORNSANDROSES,Will A Court Of Thorns and Roses be released?,Critical,Dormant,
2026-02-08,KXYTUBESUBSISHOWSPEED,When will IShowSpeed reach 100 million Youtube subscribers?,Critical,Dormant,
2026-02-08,KXPERFORMROLE007-VILLAIN,Who will be the next James Bond villain?,Critical,Dormant,
2026-02-08,KXPOPCHANGESTATE10-35,Will any U.S. state experience a population decrease of at least 10% between 2025 and 2035?,Critical,Dormant,
2026-02-08,KXACTORTOMCRUZ-30,Will Tom Cruise be cast in another Film With Ana de Armas?,Critical,Dormant,
2026-02-08,KXPERFORMROLE007-MONEYPENNY,Who will play Moneypenny in the next James Bond?,Critical,Dormant,
2026-02-08,KXPERFORMROLE007-FELIX,Who will play Felix Leiter in the next James Bond?,Critical,Dormant,
2026-02-08,KXPERFORMROLE007-M,Who will play M in the next James Bond film?,Critical,Dormant,
2026-02-10,KXTRILLIONAIRE-30,Who will be the world's first trillionaire?,Strong,Consensus,
2026-02-10,KXMOONMAN-31,Which country will be the next to send humans to the Moon?,Neutral,Overheated,
2026-02-10,KXPRIMEENGCONSUMPTION-30,What will be the largest source of global primary energy consumption in 2030?,Neutral,Overheated,
2026-02-10,USCLIMATE,US meets its climate goals?,Weak,Undervalued | Chaos,Undervalued | Chaos
2026-02-10,KXELONMARS-99,Will Elon Musk visit Mars in his lifetime?,Strong,Stable,
2026-02-10,KXOAIANTH-40,Will OpenAI or Anthropic IPO first?,Weak,Chaos,
2026-02-10,KXTAYLORSWIFTWEDDING-30JAN01,Who will be a Bridesmaid for the wedding of Travis Kelce and Taylor Swift?,Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-10,KXPERSONPRESFUENTES-45,Will Nick Fuentes become President of the United States before 2045?,Neutral,Stable,
2026-02-10,KXROBOTMARS-35,Will a humanoid robot walk on Mars before a human does?,Neutral,Chaos,
2026-02-10,KXNEWPOPE-70,Who will the next Pope be?,Weak,Undervalued | Chaos,Undervalued | Chaos
2026-02-10,KXNEXTIRANLEADER-45JAN01,Who will be the next Supreme Leader of Iran?,Neutral,Overheated,
2026-02-10,KXTIMEDECADE20S-30,Who will Time name as Person of the Decade?,Neutral,Undervalued,
2026-02-10,KXFUSION,When will nuclear fusion be achieved?,Weak,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict
2026-02-10,EVSHARE-30JAN,EV market share in 2030?,Weak,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict
2026-02-10,KXG7LEADEROUT-45JAN01,Which G7 leader will leave next?,Neutral,Overheated,
2026-02-10,KXEARTHQUAKECALIFORNIA-35,Will there be an at least 8.0 magnitude earthquake in California before 2035?,Neutral,Stable,
2026-02-10,KXBRUVSEAT-35,Will Andrew Tate's party win a seat in the next UK election?,Strong,Scatter,
2026-02-10,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,Strong,Stable,
2026-02-10,KXTRAVISKELCEWEDDING-30JAN01,Who will be Groomsman for the wedding of Travis Kelce and Taylor Swift?,Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-10,KXPERSONPRESMAM-45,Will Zohran Mamdani become President of the United States before 2045?,Strong,Stable,
2026-02-10,KXPERFORMBONDSONG-35,Who will perform the next James Bond theme?,Neutral,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-10,KXJOHNNYDEPP-35,Will Johnny Depp be cast in the next Pirates of the Caribbean?,Neutral,Chaos,
2026-02-10,KXERUPTSUPER-0,Will a supervolcano erupt before 2050?,Neutral,Stable,
2026-02-10,KXRAMPBREX-40,Will Ramp or Brex IPO first?,Neutral,Scatter,
2026-02-10,KXTVSEASONRELEASETHELASTOFUS,"When will ""The Last of Us"" Season 3 be released?",Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-10,KXCOLONIZEMARS-50,Will humans colonize Mars before 2050?,Neutral,Stable,
2026-02-10,KXNEWPOPE-35,Who will the next Pope be?,Critical,Dormant,
2026-02-10,KXU3MAX-30,How high will unemployment get before 2030?,Critical,Dormant,
2026-02-10,KXNEXTSPEAKER-31,Who will be the next Speaker of the House?,Critical,Dormant,
2026-02-10,KXWARMING-50,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,Critical,Dormant,
2026-02-10,KXMARSVRAIL-50,Will a human land on Mars before California starts high-speed rail?,Critical,Dormant,
2026-02-10,INDIACLIMATE-30,India meets its 2030 climate goals?,Critical,Dormant,
2026-02-10,KXACTORSONNYCROCKETT-35,Who will be cast in the next Miami Vice?,Critical,Dormant,
2026-02-10,KXFDATYPE1DIABETES-33,Will the FDA approve a cure for Type 1 diabetes before 2033?,Critical,Dormant,
2026-02-10,KXAFRICALEADEROUT-35,Which of these African leaders will leave office next?,Critical,Dormant,
2026-02-10,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,Critical,Dormant,
2026-02-10,KXDEELRIP-40,Will Deel or Rippling IPO first?,Critical,Dormant,
2026-02-10,KXUSTAKEOVER-30,Will the US government take control of any AI company or project before 2030?,Critical,Dormant,
2026-02-10,EUCLIMATE,EU meets its 2030 climate goals?,Critical,Dormant,
2026-02-10,KXCANADACUP-30,Canadian team wins the Stanley Cup® before the 2031 season?,Critical,Dormant,
2026-02-10,KXINDIANAPOWELL-30,Will Glen Powell be cast in the next Indiana Jones movie?,Critical,Dormant,
2026-02-10,KXYTUBESUBSISHOWSPEED,When will IShowSpeed reach 100 million Youtube subscribers?,Critical,Dormant,
2026-02-10,KXPERFORMROLEBRITNEY,Who will play Britney Spears in the Jon M. Chu–directed biopic?,Critical,Dormant,
2026-02-10,KXTVSEASONRELEASEACOURTOFTHORNSANDROSES,Will A Court Of Thorns and Roses be released?,Critical,Dormant,
2026-02-10,KXPERFORMROLE007-VILLAIN,Who will be the next James Bond villain?,Critical,Dormant,
2026-02-10,KXPOPCHANGESTATE10-35,Will any U.S. state experience a population decrease of at least 10% between 2025 and 2035?,Critical,Dormant,
2026-02-10,KXACTORTOMCRUZ-30,Will Tom Cruise be cast in another Film With Ana de Armas?,Critical,Dormant,
2026-02-10,KXPERFORMROLE007-MONEYPENNY,Who will play Moneypenny in the next James Bond?,Critical,Dormant,
2026-02-10,KXPERFORMROLE007-FELIX,Who will play Felix Leiter in the next James Bond?,Critical,Dormant,
2026-02-10,KXPERFORMROLE007-M,Who will play M in the next James Bond film?,Critical,Dormant,
2026-02-16,KXTRILLIONAIRE-30,Who will be the world's first trillionaire?,Strong,Consensus,
2026-02-16,KXMOONMAN-31,Which country will be the next to send humans to the Moon?,Neutral,Stable,
2026-02-16,KXPRIMEENGCONSUMPTION-30,What will be the largest source of global primary energy consumption in 2030?,Neutral,Stable,
2026-02-16,USCLIMATE,US meets its climate goals?,Weak,Undervalued | Chaos,Undervalued | Chaos
2026-02-16,KXOAIANTH-40,Will OpenAI or Anthropic IPO first?,Weak,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict
2026-02-16,KXELONMARS-99,Will Elon Musk visit Mars in his lifetime?,Strong,Stable,
2026-02-16,KXTAYLORSWIFTWEDDING-30JAN01,Who will be a Bridesmaid for the wedding of Travis Kelce and Taylor Swift?,Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-16,KXNEWPOPE-70,Who will the next Pope be?,Weak,Undervalued | Chaos,Undervalued | Chaos
2026-02-16,KXROBOTMARS-35,Will a humanoid robot walk on Mars before a human does?,Neutral,Chaos,
2026-02-16,KXPERSONPRESFUENTES-45,Will Nick Fuentes become President of the United States before 2045?,Neutral,Stable,
2026-02-16,KXNEXTIRANLEADER-45JAN01,Who will be the next Supreme Leader of Iran?,Neutral,Overheated,
2026-02-16,KXTIMEDECADE20S-30,Who will Time name as Person of the Decade?,Neutral,Undervalued,
2026-02-16,KXFUSION,When will nuclear fusion be achieved?,Weak,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict
2026-02-16,KXG7LEADEROUT-45JAN01,Which G7 leader will leave next?,Strong,Stable,
2026-02-16,EVSHARE-30JAN,EV market share in 2030?,Weak,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict
2026-02-16,KXEARTHQUAKECALIFORNIA-35,Will there be an at least 8.0 magnitude earthquake in California before 2035?,Neutral,Stable,
2026-02-16,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,Strong,Stable,
2026-02-16,KXBRUVSEAT-35,Will Andrew Tate's party win a seat in the next UK election?,Strong,Consensus,
2026-02-16,KXTRAVISKELCEWEDDING-30JAN01,Who will be Groomsman for the wedding of Travis Kelce and Taylor Swift?,Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-16,KXPERSONPRESMAM-45,Will Zohran Mamdani become President of the United States before 2045?,Strong,Stable,
2026-02-16,KXPERFORMBONDSONG-35,Who will perform the next James Bond theme?,Neutral,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-16,KXJOHNNYDEPP-35,Will Johnny Depp be cast in the next Pirates of the Caribbean?,Neutral,Chaos,
2026-02-16,KXERUPTSUPER-0,Will a supervolcano erupt before 2050?,Neutral,Stable,
2026-02-16,KXRAMPBREX-40,Will Ramp or Brex IPO first?,Strong,Undervalued | Consensus,Undervalued | Consensus
2026-02-16,KXCOLONIZEMARS-50,Will humans colonize Mars before 2050?,Neutral,Stable,
2026-02-16,KXTVSEASONRELEASETHELASTOFUS,"When will ""The Last of Us"" Season 3 be released?",Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-16,KXNEWPOPE-35,Who will the next Pope be?,Critical,Dormant,
2026-02-16,KXU3MAX-30,How high will unemployment get before 2030?,Critical,Dormant,
2026-02-16,KXWARMING-50,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,Critical,Dormant,
2026-02-16,KXNEXTSPEAKER-31,Who will be the next Speaker of the House?,Critical,Dormant,
2026-02-16,KXMARSVRAIL-50,Will a human land on Mars before California starts high-speed rail?,Critical,Dormant,
2026-02-16,KXACTORSONNYCROCKETT-35,Who will be cast in the next Miami Vice?,Critical,Dormant,
2026-02-16,INDIACLIMATE-30,India meets its 2030 climate goals?,Critical,Dormant,
2026-02-16,KXFDATYPE1DIABETES-33,Will the FDA approve a cure for Type 1 diabetes before 2033?,Critical,Dormant,
2026-02-16,KXAFRICALEADEROUT-35,Which of these African leaders will leave office next?,Critical,Dormant,
2026-02-16,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,Critical,Dormant,
2026-02-16,KXDEELRIP-40,Will Deel or Rippling IPO first?,Critical,Dormant,
2026-02-16,KXUSTAKEOVER-30,Will the US government take control of any AI company or project before 2030?,Critical,Dormant,
2026-02-16,EUCLIMATE,EU meets its 2030 climate goals?,Critical,Dormant,
2026-02-16,KXCANADACUP-30,Canadian team wins the Stanley Cup® before the 2031 season?,Critical,Dormant,
2026-02-16,KXPERFORMROLEBRITNEY,Who will play Britney Spears in the Jon M. Chu–directed biopic?,Critical,Dormant,
2026-02-16,KXINDIANAPOWELL-30,Will Glen Powell be cast in the next Indiana Jones movie?,Critical,Dormant,
2026-02-16,KXYTUBESUBSISHOWSPEED,When will IShowSpeed reach 100 million Youtube subscribers?,Critical,Dormant,
2026-02-16,KXTVSEASONRELEASEACOURTOFTHORNSANDROSES,Will A Court Of Thorns and Roses be released?,Critical,Dormant,
2026-02-16,KXPOPCHANGESTATE10-35,Will any U.S. state experience a population decrease of at least 10% between 2025 and 2035?,Critical,Dormant,
2026-02-16,KXPERFORMROLE007-VILLAIN,Who will be the next James Bond villain?,Critical,Dormant,
2026-02-16,KXACTORTOMCRUZ-30,Will Tom Cruise be cast in another Film With Ana de Armas?,Critical,Dormant,
2026-02-16,KXPERFORMROLE007-MONEYPENNY,Who will play Moneypenny in the next James Bond?,Critical,Dormant,
2026-02-16,KXPERFORMROLE007-FELIX,Who will play Felix Leiter in the next James Bond?,Critical,Dormant,
2026-02-16,KXPERFORMROLE007-M,Who will play M in the next James Bond film?,Critical,Dormant,
2026-02-17,KXTRILLIONAIRE-30,Who will be the world's first trillionaire?,Strong,Consensus,
2026-02-17,KXMOONMAN-31,Which country will be the next to send humans to the Moon?,Neutral,Overheated,
2026-02-17,KXPRIMEENGCONSUMPTION-30,What will be the largest source of global primary energy consumption in 2030?,Neutral,Stable,
2026-02-17,KXELONMARS-99,Will Elon Musk visit Mars in his lifetime?,Strong,Stable,
2026-02-17,KXOAIANTH-40,Will OpenAI or Anthropic IPO first?,Weak,Chaos,
2026-02-17,USCLIMATE,US meets its climate goals?,Weak,Undervalued | Chaos,Undervalued | Chaos
2026-02-17,KXNEWPOPE-70,Who will the next Pope be?,Weak,Undervalued | Chaos,Undervalued | Chaos
2026-02-17,KXTAYLORSWIFTWEDDING-30JAN01,Who will be a Bridesmaid for the wedding of Travis Kelce and Taylor Swift?,Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-17,KXROBOTMARS-35,Will a humanoid robot walk on Mars before a human does?,Neutral,Chaos,
2026-02-17,KXPERSONPRESFUENTES-45,Will Nick Fuentes become President of the United States before 2045?,Neutral,Stable,
2026-02-17,KXNEXTIRANLEADER-45JAN01,Who will be the next Supreme Leader of Iran?,Neutral,Overheated,
2026-02-17,KXTIMEDECADE20S-30,Who will Time name as Person of the Decade?,Neutral,Undervalued,
2026-02-17,KXFUSION,When will nuclear fusion be achieved?,Weak,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict
2026-02-17,KXG7LEADEROUT-45JAN01,Which G7 leader will leave next?,Strong,Stable,
2026-02-17,EVSHARE-30JAN,EV market share in 2030?,Weak,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict
2026-02-17,KXEARTHQUAKECALIFORNIA-35,Will there be an at least 8.0 magnitude earthquake in California before 2035?,Neutral,Stable,
2026-02-17,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,Strong,Stable,
2026-02-17,KXPERSONPRESMAM-45,Will Zohran Mamdani become President of the United States before 2045?,Strong,Stable,
2026-02-17,KXBRUVSEAT-35,Will Andrew Tate's party win a seat in the next UK election?,Strong,Consensus,
2026-02-17,KXTRAVISKELCEWEDDING-30JAN01,Who will be Groomsman for the wedding of Travis Kelce and Taylor Swift?,Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-17,KXPERFORMBONDSONG-35,Who will perform the next James Bond theme?,Neutral,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-17,KXJOHNNYDEPP-35,Will Johnny Depp be cast in the next Pirates of the Caribbean?,Neutral,Chaos,
2026-02-17,KXERUPTSUPER-0,Will a supervolcano erupt before 2050?,Neutral,Stable,
2026-02-17,KXCOLONIZEMARS-50,Will humans colonize Mars before 2050?,Neutral,Stable,
2026-02-17,KXRAMPBREX-40,Will Ramp or Brex IPO first?,Neutral,Scatter,
2026-02-17,KXTVSEASONRELEASETHELASTOFUS,"When will ""The Last of Us"" Season 3 be released?",Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-17,KXNEWPOPE-35,Who will the next Pope be?,Critical,Dormant,
2026-02-17,KXU3MAX-30,How high will unemployment get before 2030?,Critical,Dormant,
2026-02-17,KXWARMING-50,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,Critical,Dormant,
2026-02-17,KXNEXTSPEAKER-31,Who will be the next Speaker of the House?,Critical,Dormant,
2026-02-17,KXMARSVRAIL-50,Will a human land on Mars before California starts high-speed rail?,Critical,Dormant,
2026-02-17,KXACTORSONNYCROCKETT-35,Who will be cast in the next Miami Vice?,Critical,Dormant,
2026-02-17,INDIACLIMATE-30,India meets its 2030 climate goals?,Critical,Dormant,
2026-02-17,KXFDATYPE1DIABETES-33,Will the FDA approve a cure for Type 1 diabetes before 2033?,Critical,Dormant,
2026-02-17,KXAFRICALEADEROUT-35,Which of these African leaders will leave office next?,Critical,Dormant,
2026-02-17,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,Critical,Dormant,
2026-02-17,KXDEELRIP-40,Will Deel or Rippling IPO first?,Critical,Dormant,
2026-02-17,KXUSTAKEOVER-30,Will the US government take control of any AI company or project before 2030?,Critical,Dormant,
2026-02-17,EUCLIMATE,EU meets its 2030 climate goals?,Critical,Dormant,
2026-02-17,KXCANADACUP-30,Canadian team wins the Stanley Cup® before the 2031 season?,Critical,Dormant,
2026-02-17,KXPERFORMROLEBRITNEY,Who will play Britney Spears in the Jon M. Chu–directed biopic?,Critical,Dormant,
2026-02-17,KXINDIANAPOWELL-30,Will Glen Powell be cast in the next Indiana Jones movie?,Critical,Dormant,
2026-02-17,KXYTUBESUBSISHOWSPEED,When will IShowSpeed reach 100 million Youtube subscribers?,Critical,Dormant,
2026-02-17,KXPERFORMROLE007-VILLAIN,Who will be the next James Bond villain?,Critical,Dormant,
2026-02-17,KXTVSEASONRELEASEACOURTOFTHORNSANDROSES,Will A Court Of Thorns and Roses be released?,Critical,Dormant,
2026-02-17,KXPOPCHANGESTATE10-35,Will any U.S. state experience a population decrease of at least 10% between 2025 and 2035?,Critical,Dormant,
2026-02-17,KXACTORTOMCRUZ-30,Will Tom Cruise be cast in another Film With Ana de Armas?,Critical,Dormant,
2026-02-17,KXPERFORMROLE007-MONEYPENNY,Who will play Moneypenny in the next James Bond?,Critical,Dormant,
2026-02-17,KXPERFORMROLE007-FELIX,Who will play Felix Leiter in the next James Bond?,Critical,Dormant,
2026-02-17,KXPERFORMROLE007-Q,Who will play Q in the next James Bond?,Critical,Dormant,
2026-02-18,KXTRILLIONAIRE-30,Who will be the world's first trillionaire?,Strong,Consensus,
2026-02-18,KXMOONMAN-31,Which country will be the next to send humans to the Moon?,Neutral,Overheated,
2026-02-18,KXPRIMEENGCONSUMPTION-30,What will be the largest source of global primary energy consumption in 2030?,Neutral,Stable,
2026-02-18,KXOAIANTH-40,Will OpenAI or Anthropic IPO first?,Neutral,Chaos,
2026-02-18,KXELONMARS-99,Will Elon Musk visit Mars in his lifetime?,Strong,Stable,
2026-02-18,USCLIMATE,US meets its climate goals?,Weak,Undervalued | Chaos,Undervalued | Chaos
2026-02-18,KXNEWPOPE-70,Who will the next Pope be?,Weak,Undervalued | Chaos,Undervalued | Chaos
2026-02-18,KXTAYLORSWIFTWEDDING-30JAN01,Who will be a Bridesmaid for the wedding of Travis Kelce and Taylor Swift?,Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-18,KXROBOTMARS-35,Will a humanoid robot walk on Mars before a human does?,Neutral,Chaos,
2026-02-18,KXPERSONPRESFUENTES-45,Will Nick Fuentes become President of the United States before 2045?,Neutral,Stable,
2026-02-18,KXNEXTIRANLEADER-45JAN01,Who will be the next Supreme Leader of Iran?,Neutral,Overheated,
2026-02-18,KXTIMEDECADE20S-30,Who will Time name as Person of the Decade?,Neutral,Undervalued,
2026-02-18,KXFUSION,When will nuclear fusion be achieved?,Weak,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict
2026-02-18,KXG7LEADEROUT-45JAN01,Which G7 leader will leave next?,Strong,Stable,
2026-02-18,EVSHARE-30JAN,EV market share in 2030?,Weak,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict
2026-02-18,KXEARTHQUAKECALIFORNIA-35,Will there be an at least 8.0 magnitude earthquake in California before 2035?,Neutral,Stable,
2026-02-18,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,Strong,Stable,
2026-02-18,KXPERSONPRESMAM-45,Will Zohran Mamdani become President of the United States before 2045?,Strong,Stable,
2026-02-18,KXBRUVSEAT-35,Will Andrew Tate's party win a seat in the next UK election?,Strong,Consensus,
2026-02-18,KXTRAVISKELCEWEDDING-30JAN01,Who will be Groomsman for the wedding of Travis Kelce and Taylor Swift?,Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-18,KXPERFORMBONDSONG-35,Who will perform the next James Bond theme?,Neutral,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-18,KXERUPTSUPER-0,Will a supervolcano erupt before 2050?,Neutral,Stable,
2026-02-18,KXJOHNNYDEPP-35,Will Johnny Depp be cast in the next Pirates of the Caribbean?,Neutral,Chaos,
2026-02-18,KXCOLONIZEMARS-50,Will humans colonize Mars before 2050?,Neutral,Stable,
2026-02-18,KXRAMPBREX-40,Will Ramp or Brex IPO first?,Neutral,Stable,
2026-02-18,KXTVSEASONRELEASETHELASTOFUS,"When will ""The Last of Us"" Season 3 be released?",Weak,Overheated | High-Conflict,Overheated | High-Conflict
2026-02-18,KXNEWPOPE-35,Who will the next Pope be?,Critical,Dormant,
2026-02-18,KXU3MAX-30,How high will unemployment get before 2030?,Critical,Dormant,
2026-02-18,KXWARMING-50,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,Critical,Dormant,
2026-02-18,KXNEXTSPEAKER-31,Who will be the next Speaker of the House?,Critical,Dormant,
2026-02-18,KXMARSVRAIL-50,Will a human land on Mars before California starts high-speed rail?,Critical,Dormant,
2026-02-18,KXACTORSONNYCROCKETT-35,Who will be cast in the next Miami Vice?,Critical,Dormant,
2026-02-18,INDIACLIMATE-30,India meets its 2030 climate goals?,Critical,Dormant,
2026-02-18,KXFDATYPE1DIABETES-33,Will the FDA approve a cure for Type 1 diabetes before 2033?,Critical,Dormant,
2026-02-18,KXAFRICALEADEROUT-35,Which of these African leaders will leave office next?,Critical,Dormant,
2026-02-18,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,Critical,Dormant,
2026-02-18,KXDEELRIP-40,Will Deel or Rippling IPO first?,Critical,Dormant,
2026-02-18,KXUSTAKEOVER-30,Will the US government take control of any AI company or project before 2030?,Critical,Dormant,
2026-02-18,EUCLIMATE,EU meets its 2030 climate goals?,Critical,Dormant,
2026-02-18,KXCANADACUP-30,Canadian team wins the Stanley Cup® before the 2031 season?,Critical,Dormant,
2026-02-18,KXPERFORMROLEBRITNEY,Who will play Britney Spears in the Jon M. Chu–directed biopic?,Critical,Dormant,
2026-02-18,KXINDIANAPOWELL-30,Will Glen Powell be cast in the next Indiana Jones movie?,Critical,Dormant,
2026-02-18,KXPERFORMROLE007-VILLAIN,Who will be the next James Bond villain?,Critical,Dormant,
2026-02-18,KXYTUBESUBSISHOWSPEED,When will IShowSpeed reach 100 million Youtube subscribers?,Critical,Dormant,
2026-02-18,KXTVSEASONRELEASEACOURTOFTHORNSANDROSES,Will A Court Of Thorns and Roses be released?,Critical,Dormant,
2026-02-18,KXPOPCHANGESTATE10-35,Will any U.S. state experience a population decrease of at least 10% between 2025 and 2035?,Critical,Dormant,
2026-02-18,KXACTORTOMCRUZ-30,Will Tom Cruise be cast in another Film With Ana de Armas?,Critical,Dormant,
2026-02-18,KXPERFORMROLE007-MONEYPENNY,Who will play Moneypenny in the next James Bond?,Critical,Dormant,
2026-02-18,KXPERFORMROLE007-FELIX,Who will play Felix Leiter in the next James Bond?,Critical,Dormant,
2026-02-18,KXPERFORMROLE007-Q,Who will play Q in the next James Bond?,Critical,Dormant,
2026-02-19,KXTRILLIONAIRE-30,Who will be the world's first trillionaire?,Strong,Consensus,
