verify_date,ref_date,event_id,initial_state,final_state,outcome
2026-02-24,2026-02-17,KXTRILLIONAIRE-30,Consensus,Consensus,State Maintained
2026-02-24,2026-02-17,KXMOONMAN-31,Overheated,Overheated,State Maintained
2026-02-24,2026-02-17,KXPRIMEENGCONSUMPTION-30,Stable,Stable,State Maintained
2026-02-24,2026-02-17,KXELONMARS-99,Stable,Stable,State Maintained
2026-02-24,2026-02-17,KXOAIANTH-40,Chaos,Chaos,State Maintained
2026-02-24,2026-02-17,USCLIMATE,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-02-24,2026-02-17,KXNEWPOPE-70,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-02-24,2026-02-17,KXTAYLORSWIFTWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-24,2026-02-17,KXROBOTMARS-35,Chaos,Chaos,State Maintained
2026-02-24,2026-02-17,KXPERSONPRESFUENTES-45,Stable,Stable,State Maintained
2026-02-24,2026-02-17,KXNEXTIRANLEADER-45JAN01,Overheated,Overheated,State Maintained
2026-02-24,2026-02-17,KXTIMEDECADE20S-30,Undervalued,Undervalued,State Maintained
2026-02-24,2026-02-17,KXFUSION,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-02-24,2026-02-17,KXG7LEADEROUT-45JAN01,Stable,Overheated,State Shifted: Overheated
2026-02-24,2026-02-17,EVSHARE-30JAN,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-02-24,2026-02-17,KXEARTHQUAKECALIFORNIA-35,Stable,Stable,State Maintained
2026-02-24,2026-02-17,KXNEXTISRAELPM-45JAN01,Stable,Stable,State Maintained
2026-02-24,2026-02-17,KXPERSONPRESMAM-45,Stable,Stable,State Maintained
2026-02-24,2026-02-17,KXBRUVSEAT-35,Consensus,Solid,State Shifted: Solid
2026-02-24,2026-02-17,KXTRAVISKELCEWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-24,2026-02-17,KXPERFORMBONDSONG-35,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-24,2026-02-17,KXJOHNNYDEPP-35,Chaos,Chaos,State Maintained
2026-02-24,2026-02-17,KXERUPTSUPER-0,Stable,Stable,State Maintained
2026-02-24,2026-02-17,KXCOLONIZEMARS-50,Stable,Stable,State Maintained
2026-02-24,2026-02-17,KXRAMPBREX-40,Scatter,Stable,State Shifted: Stable
2026-02-24,2026-02-17,KXTVSEASONRELEASETHELASTOFUS,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-24,2026-02-17,KXNEWPOPE-35,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXU3MAX-30,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXWARMING-50,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXNEXTSPEAKER-31,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXMARSVRAIL-50,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXACTORSONNYCROCKETT-35,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,INDIACLIMATE-30,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXFDATYPE1DIABETES-33,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXAFRICALEADEROUT-35,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXXISUCCESSOR-45JAN01,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXDEELRIP-40,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXUSTAKEOVER-30,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,EUCLIMATE,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXCANADACUP-30,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXPERFORMROLEBRITNEY,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXINDIANAPOWELL-30,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXYTUBESUBSISHOWSPEED,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXPERFORMROLE007-VILLAIN,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXTVSEASONRELEASEACOURTOFTHORNSANDROSES,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXPOPCHANGESTATE10-35,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXACTORTOMCRUZ-30,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXPERFORMROLE007-MONEYPENNY,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXPERFORMROLE007-FELIX,Dormant,Dormant,State Maintained
2026-02-24,2026-02-17,KXPERFORMROLE007-Q,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXTRILLIONAIRE-30,Consensus,Consensus,State Maintained
2026-02-26,2026-02-19,KXMOONMAN-31,Overheated,Overheated,State Maintained
2026-02-26,2026-02-19,KXPRIMEENGCONSUMPTION-30,Stable,Overheated,State Shifted: Overheated
2026-02-26,2026-02-19,KXOAIANTH-40,Chaos,Chaos,State Maintained
2026-02-26,2026-02-19,KXELONMARS-99,Stable,Stable,State Maintained
2026-02-26,2026-02-19,USCLIMATE,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-02-26,2026-02-19,KXNEWPOPE-70,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-02-26,2026-02-19,KXTAYLORSWIFTWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-26,2026-02-19,KXROBOTMARS-35,Chaos,Chaos,State Maintained
2026-02-26,2026-02-19,KXPERSONPRESFUENTES-45,Stable,Stable,State Maintained
2026-02-26,2026-02-19,KXNEXTIRANLEADER-45JAN01,Overheated,Overheated,State Maintained
2026-02-26,2026-02-19,KXTIMEDECADE20S-30,Undervalued,Undervalued,State Maintained
2026-02-26,2026-02-19,KXFUSION,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-02-26,2026-02-19,KXG7LEADEROUT-45JAN01,Stable,Overheated,State Shifted: Overheated
2026-02-26,2026-02-19,EVSHARE-30JAN,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-02-26,2026-02-19,KXEARTHQUAKECALIFORNIA-35,Stable,Stable,State Maintained
2026-02-26,2026-02-19,KXNEXTISRAELPM-45JAN01,Stable,Stable,State Maintained
2026-02-26,2026-02-19,KXPERSONPRESMAM-45,Stable,Stable,State Maintained
2026-02-26,2026-02-19,KXBRUVSEAT-35,Consensus,Stable,State Shifted: Stable
2026-02-26,2026-02-19,KXTRAVISKELCEWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-26,2026-02-19,KXPERFORMBONDSONG-35,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-26,2026-02-19,KXERUPTSUPER-0,Stable,Stable,State Maintained
2026-02-26,2026-02-19,KXJOHNNYDEPP-35,Chaos,Chaos,State Maintained
2026-02-26,2026-02-19,KXCOLONIZEMARS-50,Stable,Stable,State Maintained
2026-02-26,2026-02-19,KXRAMPBREX-40,Stable,Stable,State Maintained
2026-02-26,2026-02-19,KXTVSEASONRELEASETHELASTOFUS,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-26,2026-02-19,KXNEWPOPE-35,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXWARMING-50,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXU3MAX-30,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXNEXTSPEAKER-31,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXMARSVRAIL-50,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXACTORSONNYCROCKETT-35,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,INDIACLIMATE-30,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXFDATYPE1DIABETES-33,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXAFRICALEADEROUT-35,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXXISUCCESSOR-45JAN01,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXDEELRIP-40,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXUSTAKEOVER-30,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,EUCLIMATE,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXCANADACUP-30,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXPERFORMROLEBRITNEY,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXINDIANAPOWELL-30,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXPERFORMROLE007-VILLAIN,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXYTUBESUBSISHOWSPEED,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXTVSEASONRELEASEACOURTOFTHORNSANDROSES,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXPOPCHANGESTATE10-35,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXACTORTOMCRUZ-30,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXPERFORMROLE007-MONEYPENNY,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXPERFORMROLE007-FELIX,Dormant,Dormant,State Maintained
2026-02-26,2026-02-19,KXPERFORMROLE007-Q,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXTRILLIONAIRE-30,Consensus,Consensus,State Maintained
2026-02-27,2026-02-20,KXMOONMAN-31,Overheated,Overheated,State Maintained
2026-02-27,2026-02-20,KXPRIMEENGCONSUMPTION-30,Stable,Overheated,State Shifted: Overheated
2026-02-27,2026-02-20,KXOAIANTH-40,Chaos,Chaos,State Maintained
2026-02-27,2026-02-20,KXELONMARS-99,Stable,Stable,State Maintained
2026-02-27,2026-02-20,USCLIMATE,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-02-27,2026-02-20,KXNEWPOPE-70,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-02-27,2026-02-20,KXROBOTMARS-35,Chaos,Chaos,State Maintained
2026-02-27,2026-02-20,KXTAYLORSWIFTWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-27,2026-02-20,KXNEXTIRANLEADER-45JAN01,Overheated,Overheated,State Maintained
2026-02-27,2026-02-20,KXPERSONPRESFUENTES-45,Stable,Stable,State Maintained
2026-02-27,2026-02-20,KXTIMEDECADE20S-30,Undervalued,Undervalued,State Maintained
2026-02-27,2026-02-20,KXFUSION,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-02-27,2026-02-20,KXG7LEADEROUT-45JAN01,Stable,Overheated,State Shifted: Overheated
2026-02-27,2026-02-20,EVSHARE-30JAN,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-02-27,2026-02-20,KXEARTHQUAKECALIFORNIA-35,Stable,Stable,State Maintained
2026-02-27,2026-02-20,KXBRUVSEAT-35,Stable,Forming,State Shifted: Forming
2026-02-27,2026-02-20,KXNEXTISRAELPM-45JAN01,Stable,Undervalued,State Shifted: Undervalued
2026-02-27,2026-02-20,KXPERSONPRESMAM-45,Stable,Stable,State Maintained
2026-02-27,2026-02-20,KXTRAVISKELCEWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-27,2026-02-20,KXERUPTSUPER-0,Stable,Stable,State Maintained
2026-02-27,2026-02-20,KXPERFORMBONDSONG-35,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-27,2026-02-20,KXJOHNNYDEPP-35,Chaos,Chaos,State Maintained
2026-02-27,2026-02-20,KXCOLONIZEMARS-50,Stable,Stable,State Maintained
2026-02-27,2026-02-20,KXRAMPBREX-40,Stable,Stable,State Maintained
2026-02-27,2026-02-20,KXTVSEASONRELEASETHELASTOFUS,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-02-27,2026-02-20,KXNEWPOPE-35,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXU3MAX-30,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXWARMING-50,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXNEXTSPEAKER-31,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXACTORSONNYCROCKETT-35,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXMARSVRAIL-50,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,INDIACLIMATE-30,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXFDATYPE1DIABETES-33,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXAFRICALEADEROUT-35,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXXISUCCESSOR-45JAN01,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXDEELRIP-40,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXUSTAKEOVER-30,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,EUCLIMATE,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXCANADACUP-30,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXPERFORMROLEBRITNEY,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXINDIANAPOWELL-30,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXPERFORMROLE007-VILLAIN,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXYTUBESUBSISHOWSPEED,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXTVSEASONRELEASEACOURTOFTHORNSANDROSES,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXPOPCHANGESTATE10-35,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXACTORTOMCRUZ-30,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXPERFORMROLE007-MONEYPENNY,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXPERFORMROLE007-FELIX,Dormant,Dormant,State Maintained
2026-02-27,2026-02-20,KXPERFORMROLE007-Q,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXTRILLIONAIRE-30,Consensus,Consensus,State Maintained
2026-03-03,2026-02-24,KXMOONMAN-31,Overheated,Overheated,State Maintained
2026-03-03,2026-02-24,KXPRIMEENGCONSUMPTION-30,Stable,Stable,State Maintained
2026-03-03,2026-02-24,KXOAIANTH-40,Chaos,Chaos,State Maintained
2026-03-03,2026-02-24,KXELONMARS-99,Stable,Stable,State Maintained
2026-03-03,2026-02-24,USCLIMATE,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-03-03,2026-02-24,KXNEWPOPE-70,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-03-03,2026-02-24,KXROBOTMARS-35,Chaos,Chaos,State Maintained
2026-03-03,2026-02-24,KXNEXTIRANLEADER-45JAN01,Overheated,Stable,State Shifted: Stable
2026-03-03,2026-02-24,KXTAYLORSWIFTWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-03-03,2026-02-24,KXPERSONPRESFUENTES-45,Stable,Stable,State Maintained
2026-03-03,2026-02-24,KXTIMEDECADE20S-30,Undervalued,Undervalued,State Maintained
2026-03-03,2026-02-24,KXFUSION,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-03-03,2026-02-24,KXG7LEADEROUT-45JAN01,Overheated,Stable,State Shifted: Stable
2026-03-03,2026-02-24,EVSHARE-30JAN,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-03-03,2026-02-24,KXNEXTISRAELPM-45JAN01,Stable,Stable,State Maintained
2026-03-03,2026-02-24,KXEARTHQUAKECALIFORNIA-35,Stable,Stable,State Maintained
2026-03-03,2026-02-24,KXBRUVSEAT-35,Solid,Stable,State Shifted: Stable
2026-03-03,2026-02-24,KXPERSONPRESMAM-45,Stable,Stable,State Maintained
2026-03-03,2026-02-24,KXERUPTSUPER-0,Stable,Stable,State Maintained
2026-03-03,2026-02-24,KXTRAVISKELCEWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-03-03,2026-02-24,KXPERFORMBONDSONG-35,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-03-03,2026-02-24,KXJOHNNYDEPP-35,Chaos,Chaos,State Maintained
2026-03-03,2026-02-24,KXRAMPBREX-40,Stable,Undervalued,State Shifted: Undervalued
2026-03-03,2026-02-24,KXCOLONIZEMARS-50,Stable,Stable,State Maintained
2026-03-03,2026-02-24,KXTVSEASONRELEASETHELASTOFUS,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-03-03,2026-02-24,KXWARMING-50,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXNEWPOPE-35,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXU3MAX-30,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXNEXTSPEAKER-31,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXACTORSONNYCROCKETT-35,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXMARSVRAIL-50,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,INDIACLIMATE-30,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXFDATYPE1DIABETES-33,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXAFRICALEADEROUT-35,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXXISUCCESSOR-45JAN01,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXDEELRIP-40,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXUSTAKEOVER-30,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,EUCLIMATE,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXCANADACUP-30,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXPERFORMROLE007-VILLAIN,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXPERFORMROLEBRITNEY,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXINDIANAPOWELL-30,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXYTUBESUBSISHOWSPEED,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXTVSEASONRELEASEACOURTOFTHORNSANDROSES,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXPOPCHANGESTATE10-35,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXACTORTOMCRUZ-30,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXPERFORMROLE007-MONEYPENNY,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXPERFORMROLE007,Dormant,Dormant,State Maintained
2026-03-03,2026-02-24,KXPERFORMROLE007-Q,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXTRILLIONAIRE-30,Consensus,Consensus,State Maintained
2026-03-05,2026-02-26,KXMOONMAN-31,Overheated,Overheated,State Maintained
2026-03-05,2026-02-26,KXPRIMEENGCONSUMPTION-30,Overheated,Stable,State Shifted: Stable
2026-03-05,2026-02-26,KXOAIANTH-40,Chaos,Overheated | Chaos | High-Conflict,State Shifted: Overheated | Chaos | High-Conflict
2026-03-05,2026-02-26,KXNEWPOPE-70,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-03-05,2026-02-26,KXELONMARS-99,Stable,Stable,State Maintained
2026-03-05,2026-02-26,USCLIMATE,Undervalued | Chaos,Undervalued | Chaos,State Maintained
2026-03-05,2026-02-26,KXROBOTMARS-35,Chaos,Chaos,State Maintained
2026-03-05,2026-02-26,KXNEXTIRANLEADER-45JAN01,Overheated,Stable,State Shifted: Stable
2026-03-05,2026-02-26,KXTAYLORSWIFTWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-03-05,2026-02-26,KXPERSONPRESFUENTES-45,Stable,Stable,State Maintained
2026-03-05,2026-02-26,KXTIMEDECADE20S-30,Undervalued,Undervalued,State Maintained
2026-03-05,2026-02-26,KXG7LEADEROUT-45JAN01,Overheated,Stable,State Shifted: Stable
2026-03-05,2026-02-26,KXFUSION,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-03-05,2026-02-26,KXNEXTISRAELPM-45JAN01,Stable,Undervalued,State Shifted: Undervalued
2026-03-05,2026-02-26,EVSHARE-30JAN,Overheated | Chaos | High-Conflict,Overheated | Chaos | High-Conflict,State Maintained
2026-03-05,2026-02-26,KXEARTHQUAKECALIFORNIA-35,Stable,Chaos,State Shifted: Chaos
2026-03-05,2026-02-26,KXBRUVSEAT-35,Stable,Stable,State Maintained
2026-03-05,2026-02-26,KXERUPTSUPER-0,Stable,Stable,State Maintained
2026-03-05,2026-02-26,KXPERSONPRESMAM-45,Stable,Stable,State Maintained
2026-03-05,2026-02-26,KXTRAVISKELCEWEDDING-30JAN01,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-03-05,2026-02-26,KXPERFORMBONDSONG-35,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-03-05,2026-02-26,KXJOHNNYDEPP-35,Chaos,Chaos,State Maintained
2026-03-05,2026-02-26,KXCOLONIZEMARS-50,Stable,Stable,State Maintained
2026-03-05,2026-02-26,KXRAMPBREX-40,Stable,Stable,State Maintained
2026-03-05,2026-02-26,KXTVSEASONRELEASETHELASTOFUS,Overheated | High-Conflict,Overheated | High-Conflict,State Maintained
2026-03-05,2026-02-26,KXWARMING-50,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXNEWPOPE-35,Dormant,Undervalued,State Shifted: Undervalued
2026-03-05,2026-02-26,KXNEXTSPEAKER-31,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXU3MAX-30,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXACTORSONNYCROCKETT-35,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXMARSVRAIL-50,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,INDIACLIMATE-30,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXFDATYPE1DIABETES-33,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXXISUCCESSOR-45JAN01,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXAFRICALEADEROUT-35,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXDEELRIP-40,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXUSTAKEOVER-30,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,EUCLIMATE,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXCANADACUP-30,Dormant,Dormant,State Maintained
